iter	Passed	Remaining
0	2	6262
1	4	5304
2	6	5368
3	8	5499
4	10	5250
5	11	4921
6	14	5042
7	15	4979
8	17	4868
9	19	4943
10	21	4912
11	23	4962
12	27	5222
13	30	5328
14	31	5299
15	34	5284
16	35	5194
17	37	5185
18	39	5123
19	41	5148
20	43	5154
21	45	5105
22	47	5077
23	48	5031
24	50	4977
25	51	4931
26	53	4896
27	55	4933
28	58	4949
29	60	4971
30	62	4990
31	64	4967
32	66	4946
33	68	4980
34	70	4975
35	72	4991
36	75	4993
37	77	4994
38	78	4969
39	80	4958
40	82	4965
41	84	4942
42	85	4913
43	88	4955
44	90	4956
45	93	4987
46	95	4985
47	96	4952
48	98	4948
49	100	4946
50	102	4924
51	105	4953
52	107	4958
53	109	4940
54	111	4956
55	113	4959
56	115	4959
57	117	4946
58	119	4959
59	122	4972
60	124	4962
61	125	4952
62	127	4931
63	130	4968
64	132	4964
65	134	4950
66	135	4928
67	138	4955
68	140	4962
69	143	4988
70	144	4957
71	146	4931
72	148	4928
73	149	4903
74	151	4913
75	153	4899
76	156	4910
77	158	4907
78	160	4904
79	161	4888
80	163	4870
81	164	4857
82	166	4862
83	168	4854
84	170	4838
85	172	4837
86	174	4844
87	176	4831
88	178	4838
89	180	4823
90	182	4818
91	183	4798
92	185	4795
93	186	4784
94	189	4785
95	190	4773
96	192	4758
97	195	4788
98	197	4779
99	199	4781
100	200	4762
101	202	4759
102	204	4751
103	205	4740
104	207	4725
105	208	4716
106	210	4716
107	212	4710
108	214	4698
109	216	4702
110	218	4701
111	220	4703
112	222	4697
113	223	4682
114	226	4695
115	228	4688
116	230	4684
117	231	4682
118	234	4688
119	235	4679
120	237	4666
121	238	4658
122	240	4645
123	242	4649
124	244	4652
125	247	4655
126	248	4647
127	250	4640
128	252	4633
129	253	4620
130	254	4606
131	256	4599
132	258	4592
133	259	4588
134	261	4589
135	264	4595
136	266	4589
137	267	4579
138	269	4583
139	271	4576
140	272	4567
141	274	4554
142	276	4551
143	277	4544
144	280	4548
145	281	4542
146	283	4540
147	285	4531
148	286	4528
149	288	4520
150	290	4515
151	292	4520
152	294	4514
153	298	4541
154	300	4539
155	302	4549
156	305	4556
157	306	4549
158	309	4560
159	312	4567
160	313	4556
161	316	4572
