model,cv_bal_acc,best_threshold
logreg,0.7745398039684437,0.6449999999999995
stacking,0.7716949557733683,0.6049999999999995
avg_ensemble,0.7708104231412862,0.5899999999999995
weighted_ensemble,0.7708104231412862,0.5929999999999995
histgb,0.7668658857279465,0.6239999999999994
majority_vote,0.7629691608893139,0.4009999999999997
catboost,0.7619650968204638,0.4729999999999996
rank_ensemble,0.757183839349749,0.4879999999999996
rf,0.7024862538847717,0.5249999999999996
extratrees,0.6331102079847,0.5019999999999996
