feature_set,model,oof_bal_acc
full,logreg_full,0.7748266794166866
no_shift,catboost_A6_no_shift,0.7698541716471432
full,histgb_full,0.7669615108773608
full,catboost_A2_full,0.766841979440593
no_shift,catboost_A1_no_shift,0.7643796318431748
no_shift,catboost_A2_no_shift,0.7637102557972747
full,catboost_A1_full,0.7636624432225675
full,catboost_A4_full,0.7623236911307674
full,catboost_A6_full,0.7617499402342816
no_shift,logreg_no_shift,0.7611761893377958
no_shift,catboost_A3_no_shift,0.7609371264642601
full,catboost_A3_full,0.7595983743724599
no_shift,catboost_A4_no_shift,0.7582596222806598
full,catboost_A5_full,0.7580444656944776
full,extratrees_full,0.7572794644991633
no_shift,catboost_A5_no_shift,0.7554864929476452
compact,rf_compact,0.5989720296437964
compact,catboost_A6_compact,0.5973464021037533
compact,catboost_A3_compact,0.5967009323452068
compact,logreg_compact,0.5934496772651208
compact,catboost_A5_compact,0.5926607697824527
compact,catboost_A4_compact,0.5923738943342098
compact,catboost_A1_compact,0.5872818551278987
compact,catboost_A2_compact,0.5845565383695912
compact,svm_rbf_compact,0.5531675830743485
compact,knn_compact,0.5326798948123357
