blend_name,models,weights,method,oof_bal_acc,best_threshold,test_pos_rate,changed_vs_anchor,diff_pct_vs_anchor,file_path
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.20|0.20|0.20|0.40,weighted_avg,0.7901984221850347,0.6059999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.30|0.10|0.20|0.40,weighted_avg,0.7880707626105665,0.6069999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.40|0.00|0.20|0.40,weighted_avg,0.7870666985417165,0.6039999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.40|0.00|0.20|0.40,weighted_avg,0.7870666985417165,0.6039999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.10|0.35|0.55,weighted_avg,0.7869471671049486,0.6149999999999994,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.22|0.22|0.11|0.44,weighted_avg,0.7869471671049486,0.6159999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.20|0.30|0.50,weighted_avg,0.7869471671049486,0.6109999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.00|0.33|0.22|0.44,weighted_avg,0.7869471671049486,0.6029999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.00|0.30|0.30|0.40,weighted_avg,0.7868276356681807,0.6029999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.10|0.20|0.30|0.40,weighted_avg,0.7868276356681807,0.6049999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.30|0.10|0.20|0.40,weighted_avg,0.7860626344728664,0.5979999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.20|0.10|0.10|0.20|0.40,weighted_avg,0.7860626344728664,0.5959999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.30|0.30|0.40,weighted_avg,0.7860626344728664,0.5999999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.09|0.36|0.09|0.45,weighted_avg,0.7859431030360985,0.6109999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.30|0.10|0.10|0.50,weighted_avg,0.7859431030360985,0.6199999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.25|0.20|0.55,weighted_avg,0.7859431030360985,0.6109999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_threshold_vote_logreg_full,ensemble_threshold_vote|logreg_full,0.40|0.60,weighted_avg,0.7858235715993307,0.6189999999999994,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.30|0.25|0.45,weighted_avg,0.7858235715993307,0.6079999999999995,0.36363636363636365,1,0.022727272727272728,
