feature_set,model,oof_bal_acc,best_threshold,test_pos_rate,file_path
top20,catboost,0.7726990198422186,0.6139999999999994,0.3409090909090909,stage3_submissions/submission_ablation_catboost_top20.csv
top30,catboost,0.7686349509921109,0.5109999999999996,0.36363636363636365,stage3_submissions/submission_ablation_catboost_top30.csv
top15,catboost,0.7666746354291178,0.5449999999999996,0.4090909090909091,stage3_submissions/submission_ablation_catboost_top15.csv
no_interactions,catboost,0.7649533827396605,0.5939999999999995,0.36363636363636365,stage3_submissions/submission_ablation_catboost_no_interactions.csv
only_target_encoded_cat_plus_numeric,catboost,0.764140568969639,0.5079999999999996,0.38636363636363635,stage3_submissions/submission_ablation_catboost_only_target_encoded_cat_plus_numeric.csv
one_hot_only,catboost,0.764140568969639,0.5079999999999996,0.38636363636363635,stage3_submissions/submission_ablation_catboost_one_hot_only.csv
all,catboost,0.764140568969639,0.5079999999999996,0.38636363636363635,stage3_submissions/submission_ablation_catboost_all.csv
top10,catboost,0.7624193162801817,0.4889999999999996,0.3409090909090909,stage3_submissions/submission_ablation_catboost_top10.csv
no_high_shift_features,catboost,0.7603394692804207,0.5709999999999995,0.3409090909090909,stage3_submissions/submission_ablation_catboost_no_high_shift_features.csv
no_date_year_month,catboost,0.759478842935692,0.4729999999999996,0.38636363636363635,stage3_submissions/submission_ablation_catboost_no_date_year_month.csv
top15,extratrees,0.7547932106143915,0.5399999999999996,0.36363636363636365,stage3_submissions/submission_ablation_extratrees_top15.csv
top20,extratrees,0.7547932106143915,0.5569999999999995,0.3181818181818182,stage3_submissions/submission_ablation_extratrees_top20.csv
top10,extratrees,0.753143676786995,0.5279999999999996,0.36363636363636365,stage3_submissions/submission_ablation_extratrees_top10.csv
top30,extratrees,0.7463542911785799,0.5429999999999996,0.36363636363636365,stage3_submissions/submission_ablation_extratrees_top30.csv
no_high_shift_features,extratrees,0.7200095625149414,0.5349999999999996,0.3409090909090909,stage3_submissions/submission_ablation_extratrees_no_high_shift_features.csv
no_interactions,extratrees,0.71391345923978,0.5429999999999996,0.38636363636363635,stage3_submissions/submission_ablation_extratrees_no_interactions.csv
no_date_year_month,extratrees,0.7073631365049008,0.5189999999999996,0.36363636363636365,stage3_submissions/submission_ablation_extratrees_no_date_year_month.csv
one_hot_only,extratrees,0.6948362419316281,0.5149999999999996,0.45454545454545453,stage3_submissions/submission_ablation_extratrees_one_hot_only.csv
only_target_encoded_cat_plus_numeric,extratrees,0.6948362419316281,0.5149999999999996,0.45454545454545453,stage3_submissions/submission_ablation_extratrees_only_target_encoded_cat_plus_numeric.csv
all,extratrees,0.6948362419316281,0.5149999999999996,0.45454545454545453,stage3_submissions/submission_ablation_extratrees_all.csv
catboost_native_only,catboost,0.5887162323691131,0.5449999999999996,0.25,stage3_submissions/submission_ablation_catboost_catboost_native_only.csv
compact_clinical,catboost,0.5885249820702845,0.5119999999999996,0.29545454545454547,stage3_submissions/submission_ablation_catboost_compact_clinical.csv
strong_interactions_only,catboost,0.5596700932345207,0.4889999999999996,0.5227272727272727,stage3_submissions/submission_ablation_catboost_strong_interactions_only.csv
compact_clinical,extratrees,0.557351183361224,0.4949999999999996,0.5454545454545454,stage3_submissions/submission_ablation_extratrees_compact_clinical.csv
strong_interactions_only,extratrees,0.5551757112120488,0.45999999999999963,0.8181818181818182,stage3_submissions/submission_ablation_extratrees_strong_interactions_only.csv
catboost_native_only,extratrees,0.545900071718862,0.5219999999999996,0.4318181818181818,stage3_submissions/submission_ablation_extratrees_catboost_native_only.csv
intervals_only_no_year_month,catboost,0.534903179536218,0.5209999999999996,0.11363636363636363,stage3_submissions/submission_ablation_catboost_intervals_only_no_year_month.csv
intervals_only_no_year_month,extratrees,0.5288309825484102,0.6309999999999995,0.045454545454545456,stage3_submissions/submission_ablation_extratrees_intervals_only_no_year_month.csv
