candidate_name,method,threshold,oof_bal_acc_proxy,test_positive_rate,changed_vs_anchor,diff_pct_vs_anchor,risk_category,note,file_path
submission_thr_0.010_pos_1.000,threshold_sweep,0.01,0.5,1.0,29,0.6590909090909091,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.010_pos_1.000.csv
submission_thr_0.136_pos_0.977,threshold_sweep,0.136,0.5031317236433182,0.9772727272727273,28,0.6363636363636364,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.136_pos_0.977.csv
submission_thr_0.190_pos_0.955,threshold_sweep,0.19,0.5199139373655272,0.9545454545454546,27,0.6136363636363636,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.190_pos_0.955.csv
submission_thr_0.196_pos_0.932,threshold_sweep,0.196,0.5241692565144633,0.9318181818181818,26,0.5909090909090909,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.196_pos_0.932.csv
submission_thr_0.200_pos_0.909,threshold_sweep,0.2,0.5262969160889314,0.9090909090909091,25,0.5681818181818182,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.200_pos_0.909.csv
submission_thr_0.204_pos_0.886,threshold_sweep,0.20400000000000001,0.5273009801577815,0.8863636363636364,24,0.5454545454545454,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.204_pos_0.886.csv
submission_thr_0.224_pos_0.864,threshold_sweep,0.224,0.5554864929476453,0.8636363636363636,23,0.5227272727272727,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.224_pos_0.864.csv
submission_thr_0.228_pos_0.841,threshold_sweep,0.228,0.5563710255797274,0.8409090909090909,22,0.5,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.228_pos_0.841.csv
submission_thr_0.242_pos_0.818,threshold_sweep,0.242,0.5590246234759741,0.8181818181818182,21,0.4772727272727273,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.242_pos_0.818.csv
submission_thr_0.248_pos_0.773,threshold_sweep,0.248,0.5674157303370787,0.7727272727272727,19,0.4318181818181818,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.248_pos_0.773.csv
