model,seed,fold,fold_bal_acc,fold_thr
logreg,42,1,0.7726512072675114,0.6179999999999994
logreg,42,2,0.8019364092756395,0.6019999999999995
logreg,42,3,0.7590246234759741,0.7199999999999994
logreg,42,4,0.7770738704279225,0.6349999999999995
logreg,42,5,0.744561319627062,0.6019999999999995
logreg,777,1,0.7989481233564428,0.6809999999999994
logreg,777,2,0.7921348314606742,0.7419999999999993
logreg,777,3,0.7602199378436529,0.7789999999999994
logreg,777,4,0.822615347836481,0.6039999999999995
logreg,777,5,0.7327277073870428,0.6999999999999994
logreg,2025,1,0.7501792971551517,0.7599999999999993
logreg,2025,2,0.7764762132440832,0.6779999999999994
logreg,2025,3,0.8113793927803012,0.5819999999999995
logreg,2025,4,0.7433660052593832,0.6399999999999995
logreg,2025,5,0.8101840784126225,0.7709999999999994
histgb,42,1,0.8208223762849629,0.7169999999999994
histgb,42,2,0.8306239540999283,0.6079999999999995
histgb,42,3,0.7714558928998327,0.7309999999999994
histgb,42,4,0.7776715276117618,0.6199999999999994
histgb,42,5,0.7300980157781496,0.5759999999999995
histgb,777,1,0.8001434377241214,0.6019999999999995
histgb,777,2,0.8101840784126225,0.7029999999999994
histgb,777,3,0.8001434377241214,0.6659999999999995
histgb,777,4,0.7507769543389912,0.6769999999999994
histgb,777,5,0.7433660052593832,0.8259999999999993
histgb,2025,1,0.7602199378436529,0.7569999999999993
histgb,2025,2,0.7433660052593832,0.7799999999999994
histgb,2025,3,0.7907004542194598,0.5609999999999995
histgb,2025,4,0.7309347358355247,0.7019999999999994
histgb,2025,5,0.8232130050203204,0.5909999999999995
rf,42,1,0.71324408319388,0.5309999999999996
rf,42,2,0.7455175711212049,0.5059999999999996
rf,42,3,0.7038010996892182,0.5249999999999996
rf,42,4,0.730695672961989,0.5189999999999996
rf,42,5,0.6706908917045182,0.5079999999999996
rf,777,1,0.6993784365288072,0.5149999999999996
rf,777,2,0.7244800382500598,0.5229999999999996
rf,777,3,0.6901745158976811,0.5319999999999996
rf,777,4,0.7463542911785799,0.5239999999999996
rf,777,5,0.6813291895768587,0.5109999999999996
rf,2025,1,0.6843174754960555,0.5009999999999996
rf,2025,2,0.6754721491752331,0.4919999999999996
rf,2025,3,0.7569925890509204,0.5219999999999996
rf,2025,4,0.7020081281377002,0.5239999999999996
rf,2025,5,0.6905331102079847,0.4979999999999996
extratrees,42,1,0.6781018407841262,0.4969999999999996
extratrees,42,2,0.6135548649294764,0.5489999999999995
extratrees,42,3,0.673679177623715,0.4979999999999996
extratrees,42,4,0.7106143915849868,0.4979999999999996
extratrees,42,5,0.6618455653836959,0.4979999999999996
extratrees,777,1,0.6769065264164476,0.5029999999999996
extratrees,777,2,0.608415013148458,0.4759999999999996
extratrees,777,3,0.662682285441071,0.5159999999999996
extratrees,777,4,0.6500119531436768,0.5029999999999996
extratrees,777,5,0.6538369591202486,0.5029999999999996
extratrees,2025,1,0.6086540760219938,0.4929999999999996
extratrees,2025,2,0.6654315084867319,0.4889999999999996
extratrees,2025,3,0.6588572794644991,0.5099999999999996
extratrees,2025,4,0.6213244083193881,0.5079999999999996
extratrees,2025,5,0.5858235715993306,0.5209999999999996
catboost,42,1,0.7983504661726033,0.5959999999999995
catboost,42,2,0.8093473583552475,0.4939999999999996
catboost,42,3,0.7844848195075305,0.4849999999999996
catboost,42,4,0.7750418360028688,0.4039999999999997
catboost,42,5,0.7333253645708822,0.4839999999999996
catboost,777,1,0.8001434377241214,0.5609999999999995
catboost,777,2,0.7930910829548171,0.4039999999999997
catboost,777,3,0.7776715276117618,0.5119999999999996
catboost,777,4,0.7800621563471193,0.4709999999999996
catboost,777,5,0.7134831460674157,0.8559999999999993
catboost,2025,1,0.7546019603155629,0.5109999999999996
catboost,2025,2,0.7507769543389912,0.4839999999999996
catboost,2025,3,0.7975137461152283,0.37499999999999967
catboost,2025,4,0.7540043031317236,0.4979999999999996
catboost,2025,5,0.8107817355964619,0.6689999999999995
